questions,answers,classes
离职赔偿——1、我在本单位已工作4年多（单位在宁波）2、当年作为一个专业人才被高薪请过来3、目前企业相关的人员也带出来了，老板这是觉得我的工资太高了，要对原来的固定工资的其中一部分改为考核工资4、如果这个时候我主动提出离职，我能要求索赔吗？要收集哪些证据？,你好，可以要求赔偿，可以申请劳动仲裁。具体要搜集的证据工作时间的证据、带领培养专业人才的证据、原告的固定工资等证据材料,员工权益
公司搬迁，不给说法——公司在搬迁前一天发搬迁通知，新厂区离家有30多公里，第二天我写了不去的说明，希望和公司协商解决。现公司已搬走，我就一直在家等公司通知吗？,你好，公司搬迁属于工作地点的变更，如果你们双方无法达成协议，你有权解除合同,员工权益
劳动合同由同事代签有效吗，我让他帮我签的，我在上班走不开——1、我口头上让同事帮我签劳动合同，我当时在上班，这个劳动合同有效吗？2、我从银行离职前请了一个月的病假3月29号到4月底，心脏不舒服，头晕，病好之后，我辞职了5月4号，银行把我第一季度的绩效3000多元扣完了，说是工作服费用和请假期间没有工资，合法吗？,【订立书面劳动合同】建立劳动关系，应当订立书面劳动合同。,员工权益
公司不购买社保不给合同——公司签订合同不给我们然后不买社保和公积金现金私发工资公司有非法集资的嫌疑,①对于该公司违反劳动法相关规定的行为，您有权向当地劳动监察部门举报。②根据会计准则，工资是可以以现金形式发放的。③如果您发现公司的经营行为涉嫌“非法集资”，您应当向公安机关举报。,员工权益
我不主动辞职，有赔偿金吗——我在北京一家肯德基工作，2004年11月24日入职，现在是无固定合同，2017年2月9日开始休产假，哺乳假过后因为身体总是有病一直交病假条，每个月交的不一样，每月有交一个星期的，有2个星期的，现在医疗期已过，单位好像要找我谈上班问题，我身体不好，如果我不干了，单位可以给赔偿金吗，谢谢。,最起码经济补偿金。还不能从您的表述中看出需要其他补偿，要根据具体情况判断。,员工权益
工钱未结，老板去世——我父亲10年到12年3年给私人沙场老板打工，工钱未结清，老板打了欠条，之后每年都更换欠条，这个老板前两天出意外去世了，我父亲担心钱的问题，那个老板现在的老婆是他二婚找的，房产可能都登记的不是他俩的名字，如果拿着欠条去我们市劳动仲裁有用吗？还是自己找律师直接起诉？起诉的受理流程会不会很慢，因为有其他的债权人已经去他们家闹了，可能会把值钱的东西都抢走,您父亲的问题通常不被认定为劳动争议问题，而是劳务合同纠纷，因此建议你方向人民法院提起民事诉讼，尽快通过合法途径维护自己的权益。鉴于此案发生时间较为久远，涉及诉讼时效的问题，同时还涉及债务人死亡以及财产继承等诸多法律问题，故建议你方聘请当地律师代理此案。,员工权益
国家节假日放假，公司规定假节日是无薪假，这合法吗？——国家节假日放假，公司规定假节日是无薪假，这合法吗？,您好，我国《劳动法》第五十一条规定，劳动者在法定休假日和婚丧假期间以及依法参加社会活动期间，用人单位应当依法支付工资。,员工权益
老板坐牢了，不配合办理三证合一。会计无法在税务所实名制离职——公司老板坐牢了，不配合办理三证合一。我是公司的会计，现在想要办离职，税务局没有三证合一办不了实名制交接，我的离职得不到税务所的认可。,您的辞职与税务局是没有什么关系的。,员工权益
孕妇辞退补偿——我妻子所在公司是一家集团公司，因资金问题，将她所在的子公司卖给了集团另一家公司，现在公司剩下3个孕妇还未处理，且现已经5个月未发工资，只缴了保险。我妻子现在8个月身孕，在公司工作了4年，请问如何索赔？,从您介绍的情况来看，您妻子并未收到公司方面的书面辞退通知，因此不建议你方现在考虑赔偿或者补偿的问题，更不建议你方主动提出辞职。建议你方保留公司未发放工资的相关证据，在产后方便的时候要求公司补发应发的工资。,员工权益
基层法院不执行，申请复议被驳回，如何救济？——本人申请基层法院当地执行劳动争议仲裁委员会的裁决书，基层法院裁定不予执行；后向中级法院申请复议，又被中级法院驳回。请问，下一步怎么办？可以申请再审、抗诉吗？或者还有设么其他的救济途径呢？谢谢！,您可以依据《中华人民共和国民事诉讼法》第二百三十五条之规定，请求当地基层人民检察院对相关基层人民法院的执行活动实行法律监督。,员工权益
私营作坊拖欠工资不给怎么办——你好：请问，我家人在2016年全年在私营作坊打工（农民工），没有签订合同，也没有给打欠条，现在老板拖欠工资不给怎么办，手头有当时工作时发的一个工作服上衣，上衣上印着私营作坊的名字，该私营作坊已经在县工商局注册，2016年上半年的工资给了，下半年的工资一直到现在不给工资，讨要工资老板就先是借口说扣学徒费，后有说抢其客户了，总之就是找各种理由拒绝支付工资，请问应该如何讨要回工资。,你好，建议你直接到县劳动局劳动争议仲裁委员会申请劳动仲裁。,员工权益
劳务纠纷——您好，请问走广州市法律援助中心（天河区）关于劳务一般流程纠纷的案件，通常的怎么一般流程是样的？还有官费这些事多少？,法律援助不收费，你可以到天河区司法局法律援助中心咨询一下，只要你符合法律援助条件，他们会指派法律援助律师为你提供援助。,员工权益
上班处分纠纷——律师你好，我在国企上班，因为我在项目办公室被通知下班回宾馆，同事田便带车钥匙与所有人一同去开车，所有人在车上等了10多分钟后仍未出发，此时田接到项目经理电话得知合肥来的一行人马上到汽车站，项目经理要赶回项目处理事情，项目地理位置较偏，晚上不容易打到去项目的出租车，所以想让同事田接一下，田接电话后上楼告诉集团公司经营经理合肥的人已经到了，希望能现在出发去接人。田上楼的同时，我也接到项目经理电话得知他们马上要到站了。田下来后又等了大约10多分钟，经营经理仍未有出发的意思，我与田便商量由我先去接姬相伟，并将之前开好房间的房卡给其他刚到的人，回来后再将经营经理送回宾馆，如果工作结束的早由田开其他人的车送回宾馆。现因经营经理告状我们未与其一同回宾馆，说我们将她置之不理，集团要给我处分，会对工资及年终奖产生影响，请问律师这样合理吗？我该怎么办？,集团公司如果欲对您做出“处分”，需同时满足以下条件，才可认定为具有合法性与合理性：①处分系以明确的员工管理规章为依据；②该员工管理规章的制定过程合法；③有充分证据证明您知晓该员工管理规章的内容。欠缺以上任一条件的处分决定均是违法的，您可以就此申请劳动争议仲裁。,员工权益
房屋装修我没回家验收家父就把工钱结了，现发现问题，做工方不认——老师，您好。家里最近装修房子，没等我们回去检查，家父为人老实，不多言不多语，只是没看在哪里守着工人做，完工当天未通知我就先把工钱付了，后在8月28日晚上去检查厕所便池蹲位未做好、灶台世歪斜的、墙砖缝隙过大，水电工也没有做好，于是在8月29日中午家母打电话给泥工让他来家里看一下协商解决，他直接说钱都结了，不知道就挂了电话，晚上我又打电话过去说让他上来看看，该得怎么处理的就怎么处理，他就说道：”家父在哪儿守着做没说过一句话，现在工钱结了，不知道，还提到在我家做几天工他心情不好不高兴，没等我说完话就挂了电话。“工人是朋友的亲戚，想咨询一下老师怎样维权,当事人，您好！既然装修工人是朋友的亲戚，不妨先请朋友与其沟通协调，这样可以避免通过法律程序维权可能造成的某些不便。当然，如果您觉得或者发现寻求朋友帮助仍无济于事，建议您及时通过民事诉讼维护自己的合法权益。无论通过何种途径维权，建议您先及时、完整地保存证据，包括照片、视频、电话录音等等，只要可以证明装修质量未达到通常的预期标准即可。,员工权益
工伤，陪护费谁出？——我的母亲今年1月份下班途中，发生交通事故，司机逃逸，交警认定肇事司机主责，我方次要责任，社保局认定为工伤。入院诊断为，股骨头粉碎性骨折，行内固定手术，住院2个月，出院后生活不能自理，需要陪护，请问一下，陪护费谁来出？（社保在广东中上买的）我们回河南老家，扔需要陪护的话，费用谁出？谢谢各位律师【本人在读研究生，父亲去年中风，弟弟初中，希望各位律师指点迷津】,你好，你讲的情况，由你母亲所在单位负责。工伤保险条例第三十三条规定，生活不能自理的工伤职工在停工留薪期需要护理的，由所在单位负责。,员工权益
我的编制被顶替——我是当地县交通局超限站一名职工，当时在省政府文件下进行了交通执法改革，在改革前我单位分流，退休了一批职工，还剩36名人员，在改前省政府，省交通厅下发文件，我单位35名编制名额，并交通厅文件规定单独核算，但县交通局领导却把不是我单位人员参加考试，并录取了四名人员，以我分数没考上为由变成了临时工，我上访一年多了，他又拿出交通局会议纪要搪塞我，领导班子决定。难到会议纪要比省级文件还有法律效力，明天信访局通知我去参加人大，编委等部门调查评议会，我对此没有报多大信心，败了怎么继续维权，请指教,您的问题表述还是不清楚，具体请面询当地律师为佳。,员工权益
私立学校要求扣押证件，在这种情况下辞职算违约吗？——你好，我是私立学校的一名老师，和学校签订了3年的劳动合同，合同约定，如果乙方单方面不遵守劳动合同，需要赔偿甲方培训费用的5到10倍，另处违约金3到5万。今年，我参加了教师公招老师，通过了笔试，但是并没有去面试。现在，学校以我参加了考试有失诚信嫌疑为理由要求我开学扣押证件，请问，在这种情况下我提出辞职算违约吗？如果算，违约金是否和合同约定的一样呢？,当事人，您好！您现在辞职是否构成违约需综合考虑多种因素，其中最为重要的是您与该私立学校签订的“劳动合同”。仅从您的叙述来判断，用人单位扣押劳动者证件的做法是公然违反劳动合同法相关规定的违法行为，您有权要求其纠正错误做法。但是，用人单位的这种违法行为尚不构成免除您违约责任的法定理由，因此您现在辞职存在一定的违约风险。,员工权益
劳动仲裁——我在某公司做库管工作，已经工作了2年半了，今年七月四号人事找到我，说公司转型，库房外包，问我有驾照吗，想不想去天津一个合作方去上班，我没有驾照，也不想去天津，公司说那就让我投简历找工作，我一直工作到7月30号，8月份再也没有去公司，也没有办离职手续，14号人事打电话告诉我公司给我5000元，作为补偿，我没有同意，我在公司入职时只签了1年的合同，公司没有上社保，每月多给我500元，劳动合同在公司手里，我只能提供工资表，和最后一个月的打卡记录，像我这种情况申请劳动仲裁时，我应当主张哪些权利。,按照事实来说，可以主张两个半月工资的经济补偿金，但如果单位不按事实来，就是玩赖儿，说你自己不来上班的，你有什么证据实际发生的事实？可能会比较麻烦。如果原工资不是很高，新工作比较好找，建议你同意拿5000元补偿算了，不费时费力了。社保，可以在拿到钱以后到社保去投诉。但事情是拿了每月500元，如果还没有因没上社保发生什么实际损失，也可以考虑算了，权利在你自己。当我的咨询答案好像不像是律师说话是吧？我代理劳动争议十多年了，真的很麻烦。如果单位一点儿补偿不给，那当然不这么说，反正也是麻烦，该主张还是应该主张；在单位愿意协商给点补偿的情况下，和两个半月工资比一比，差不多就算了,员工权益
劳动关系纠纷——为某商贸公司打工（货车司机），未签订劳动合同，半个月后受伤，有工友（短工，也未签劳动合同）的证明，押金票、货车缴费票等证据，请问劳动关系是否成立，能否认定工伤？,初步判断是劳动关系，能认定工伤。还不能完全确定。也看参考你们实际是怎么谈的，相同岗位其他工友是怎么实际发的工资，怎么个上班方式等具体情况。,员工权益
劳动仲裁委托问题——1.申请劳动仲裁有委托的是否一定要当面签署委托授权书？2.有委托的劳动仲裁开庭是否一定要当事人出庭？,你好，不一定要当面签署，但一定要保证是本人签署，委托了代理人的劳动仲裁，当事人不一定出庭。,员工权益
劳动纠纷——劳动纠纷，本人做手机销售，三星授派综合卖场促销，近日因综合卖场以及卖场公司下本职外任务，完不成罚款产生纠纷。且说不交罚款为违反卖场及其公司规定，但入职3年具体细节不得知情。而且其店员经了解并未和该卖场及其公司签订合同，有的工作时长长达3年，也无合同。,用人单位无权“罚款”，但有权依据规章制度扣发奖金。超过一年没签劳动合同，可以要求单位签订无固定期限劳动合同,员工权益
工资拖欠——本人于2017.9.1进入T公司实习，约定实习期限3个月，在我签名之后T公司以公司盖章为由拿走了两份合同，并至今未将另一份归还于我。后于2017.11.26，本人因无法胜任T公司职位主动提出辞职，T公司以本人票据未审核完全为由，不愿将实习期间工资发给我并找律师向我表达如不配合交接将采取法律途径。本人提出以下要求：一、合同其中一份归还于我；二、将本人工资结算给我；三、就票据交接一事进行书面约定。并将此三项要求写成书面告知函快递给T公司。T公司收到告知函后通知本人前去交接，但至交接结束也未提及告知函或满足告知函中的任一要求。此后，T公司至今未联系本人。后于2018.7本人向该公司所在地劳动机构申请调解，以失败告终。T公司于之后联系我，要求我签署一份协议，其中要求我无条件配合T公司的票据审核，请问此要求是否合理。,公司的此项要求具有合法性与合理性。根据合同法基础理论，结合劳动合同法的立法宗旨，您作为劳动者的确负有相当的“后合同义务”，即本着诚实信用原则，您需要为合同履行完毕或者解除后的相关事项负有告知、配合、维护等义务。由于票据审核事项需要相关经办人员配合方能高效办理，因此该公司的要求具有合理性，但配合相关事项需以不侵害您的现有权益为前提，并不能是“无条件的”。,员工权益
劳动争议解决方法——对于用人单位的行政开除处分，是否可以向上级单位提出行政复议或者信访申诉，还是只能提请劳动仲裁？用人单位是否应该履行告知义务？,你好，你咨询的情况，可以与单位的性质有关，如果是公务员的，可以自知道该人事处理之日起三十日内向原处理机关申请复核；对复核结果不服的，可以自接到复核决定之日起十五日内，按照规定向同级公务员主管部门或者作出该人事处理的机关的上一级机关提出申诉；也可以不经复核，自知道该人事处理之日起三十日内直接提出申诉。如果是企业的，申请劳动仲裁。,员工权益
劳动合同纠纷——工作6个月未签订劳动合同，在职期间拖欠工资，离职后公司拒绝付清拖欠工资！,您好，法律服务组7为您解答。按照您的描述，这种情况单位的做法是不符合法律规定的，您可以收集相关证据，向当地的劳动仲裁院申请劳动仲裁，以维护自身的权利，如果对仲裁结果不满意的，则可以提起诉讼，要求单位承担相应的责任。,员工权益
小包工的苦——律师你好我是在义乌做电焊的小包工，2017年4月份，一个朋友让我去他工地上做电焊工程（装修），开始是口头上说多少一平方的，工地做完了（我们完工是10月份），期间给了我7万生活费，（有1万是甲方给的，乙方说甲方没有给他，我们停工了，甲方回来给的），工地完工了，我们去要工资，乙方说甲方没有给钱，没办法，让我们等，我们一直等到年底都没有给，后来乙方带我们一起去找甲方，甲方和我们讨价还价谈了3次，谈好了13万（实际是20万多一点），我说13万给我工人工资可以付到80%，我也接受，因为年底了大家都要过年，结果甲方说我给乙方钱够了，他不管，但是电工，泥水工，小工的工资甲方说他给，后来我们到社区去投诉，街道劳保所，街道司法所都去了调解不了，今年我又去找劳保所，司法所，还在浙江政务上面投诉，结果劳动监察打电话过来，让我去一下，就做了笔录，说我是承包的他们没办法管理的，请问一下可以帮忙解决一下吗？,你好，你是承包的，但你的工人是农民工，可以让他们出面索要工资。,员工权益
集体企业拖欠我们8年多的社保金没有交，怎么走法律程序——集体企业拖欠我们8年多的社保金没有交，怎么走法律程序？现在国家规定在2018年10份要补齐社保，企业以没钱为借口不给我们办理，我们想启动法律程序保护我们的利益，因为我们是弱势群体想咨询下，证据的提供都需要什么？还有我们需要什么做些什么？在法律上能保护我们的权益。,只能建议找集体企业的上级主管部门反映并解决这个问题，法律上没有什么可建议的，法律上只能要求补缴，不能要求赔偿，补缴就需要有钱，如果企业没钱社保中心也没什么好办法，只能罚款，本来就没钱，越罚款越没钱交社保。如果企业有钱就是以没钱为借口不缴社保，那可以到社保中心去投诉举报,员工权益
包工头拒付打工钱——您好，我爸爸外出做木匠活，包工头以业主没有付款（业主实际也没付款）为理由，不付打工钱3万多，目前手里只有录音录像、工友证明为证据，起诉包工头个人胜算大么？,从您掌握的证据来看，可以初步认定你方与包工头之间存在劳务关系。如能收集更多其他证据，可以再补充一些。从以往经验来看，建议你方再深入研究一下现有证据，特别注意这些证据能否证明包工头应支付劳务费的确切数额，这是此类诉讼能否成功维权的关键。,员工权益
试用期被辞退可以要求立即结算工资吗——我在一家公司上班试用期19天被辞退，目前急需用钱想让公司提前结算工资，。打电话给人事人事说要按公司规章制度下个月十五号统一发放，我可以要求提前结算吗？现在打电话已经不接了。,你好，办理辞职手续时，一并结算。,员工权益
被开除有没有赔偿——本来是厂里一名仓管，厂牌上也写的是仓管，但是劳动合同写的一线员工。属于资材部门，最近新来的主管口头说让调去生产部门做操作工，不同意，被打击报复，让去整理栈板(之前不是仓库的人整理，有专门的人整理，别人整理一块栈板还有两块钱再加上底薪和加班工资)但是没有之前那人的待遇，没有一块两块钱，强制不让加班(虽然国家规定是五天八小时，但是在外的农民工都是上有老下有小的为了挣钱，如果所有工厂直接强制不让加班，根本不可能，所以其实这就成了每个厂不成文的潜规则，只有犯了错的或者绩效达不到的员工才会被强制五天八小时，其实就是变相逼员工主动辞职)，没有商量，公司单方面发的公告，还是在员工下班后主管拍的照片发到微信聊天群，没有同意更换岗位，但仍然在原岗位做自己的工作，却被公司记三天大过然后开除，过了几天厂里打电话让走正常程序，但是记大过的钱仍然要扣，没有补偿，这样可以申请劳动仲裁吗？胜诉希望大吗？,通过劳动争议仲裁维护您的合法权益是劳动者依法享有的权利，对于您与用人单位的上述争议当然可以申请劳动争议仲裁解决。从您对该公司与您解除劳动合同的整个过程的叙述来看，该公司在此过程中的一些做法是违反我国劳动法、劳动合同法的相关规定的，此过程存在程序违法与实体违法的情形。初步判断，只要您提出合法、合理的主张并提供充分的证据，您的诉求很可能获得劳动人事争议仲裁委员会的支持。,员工权益
我是一名哺乳期员工，产假结束，公司却撤销我的岗位，不让上班——你好。我是一名哺乳期员工。三月底刚生了宝宝。在公司工作两年了，现在回到公司报到上班。公司却以不再设置我原来的工作岗位为由，不让我工作，也不给我安排别的工作。并说让我继续请假，公司给缴纳社保。我的工作就这样不明不白的丢了，也不说解雇我，就这样拖着。我这样的女员工在这个时期去找工作难度很大的。这种情况我该怎么办？法律保护我们吗？,有法律保护！《女职工劳动保护特别规定》保护你！而且是“特别”保护！《劳动合同法》、《劳动法》也保护你！怎么办？你可以继续要求上班，公司不同意你上班，不安排你工作期间，应当全额发放你的工资，如果公司只缴纳社保，不发工资或者降低工资，你可以向人力资源和社会保障局劳动监察大队投诉或者到劳动争议仲裁委员会申请仲裁，要求补发工资。如果你时间不便，可以到当地区县的司法局法律援助中心申请法律援助，你这种情况一般都会受理，法援中心会指派一名律师免费为你申请仲裁。不但法律保护你，人社局、司法局和热心律师都会帮你呢！法制网现在就在帮你呢！你要有信心维护自己的合法权益!,员工权益
工伤但不按时发生活费——我爸爸57岁，大概2017年8月份在一家物业管理公司上班，2018年1月初上班期间摔伤，造成右股骨粗隆间骨折，经住院动手术治疗，内固定钢板。现在基本可以走路，但还得拄着拐杖，有医生开的休息证明。可是该公司给我爸发了1-4月份的生活费，5月份就不发了。请问该怎么做，来维护自己的合法利益，需要请律师吗？还有公司并没有给我爸申请工伤鉴定，又怕该公司不承认签订了劳动合同？怎么有效的证明有劳动关系！非常感谢！,首先，对您父亲在工作中不幸受伤表示慰问！根据您对相关情况的介绍，您父亲的医疗期应当为三个月，也就是说其病假工资的支付期限应当为三个月，除非您父亲工作地的地方性法规有其他规定。律师掌握系统的专业知识，具备维权的专业技能，故您可自愿选择您信任的律师为您维权。如用人单位未为您父亲申报工伤，你方可先自行申请。对于劳动关系的证明，你方可以收集在该用人单位实际工作过的相关证据加以证明，如工作照、工资条等等。,员工权益
劳动合同到期却还在医疗期，劳动合同可以续签吗？——我爸爸在劳动合同期内患肺癌，一直在治病，公司没有给上保险，也不想给赔偿，现在劳动合同到期了，但是医疗期还没过，我们还能要求续签合同吗？,只是不能解除合同，能否续签要看工作能力而定。,员工权益
我妈在工地上干活摔伤了没人管——我妈是刮大白的前天在工地上干活摔伤了，现在医院，刚开始包工头说管，今天医院说明天动手术要交钱一万多，结果包工头说他没有那么多就不管了我想问一下我接下来干怎么办？,首先，对您母亲不幸受伤表示同情！当务之急是先救治您母亲，并将发生费用的所有票据保存完好，作为证据，以备不时之需。此外，应及时报警，一方面可以请求警方介入调查，如涉及某些人需承担刑事责任的情况，警方即会及时处理；另一方面，即使无涉及刑事责任的情况，也可通过此过程固定证据，确定责任主体的身份、通讯方式、家庭住址或者经常居住地、工作单位等关键信息，以便于日后通过民事诉讼解决问题。,员工权益
哺乳期辞退员工——我还在哺乳期，因为修改打卡记录被单位辞退了，单位这样做违法吗？还是因为自己犯错在先所以是可以辞退我的？,“修改打卡记录”通常被认定为严重的违反劳动纪律的行为，也是极不诚信的行为，其目的即是通过欺骗用人单位的手段谋取私利。尽管《中华人民共和国劳动合同法》等法律法规对哺乳期妇女设定了特殊的保障制度，但由于劳动者自身的过错，如严重违反用人单位的规章制度等情形，用人单位可以解除劳动合同。,员工权益
工资少发——和公司签的是计件合同从事计件工作四年今年四月份前十天也是计件工作11号调岗到计时工作岗位工作19天其中一天工作八小时其余18天工作12小时。在五月底发放工资时公司将四月份按整月计时工作发放的，而且有两天上班了却没有考勤记录。找到公司他们说六月底补发差额，但是他计算的差额是加班一小时12元我的计时岗位工资是2170元。部门领导认为我不应该去找得罪了他们对我开始打压。公司的行为算克扣我的工资吗？算未足额支付工资和拖欠工资吗？谢谢,不按约定的工资标准发放工资算克扣工资，“拖欠”：通常应发而未发超过一周就算“拖欠”。,员工权益
工资问题——您好，我是在一家工厂打工，有一次主管看我在闲着，就跟我说不给我10块每小时，其他工人是11块每小时。我没跟他争吵，我就继续干活了，如果他最后不给我11块每小时的话。他这样的做法是对的吗？,如果不能够同工同酬，你有权到劳动局申诉或者申请劳动仲裁裁决,员工权益
拖欠工资——去年6月份在绥化医院给包工头干活，干到8月份因为装修公司与医院等方面原因停止施工。当时我们所干的活经包工头弟弟（施工现场管事的）检验合格，现在他们也承认活没问题。但有4000多工资没开，一直以工程款没下拨为由拖欠。证据只有电话录音，现在打电话他也接。能否申请劳务仲裁并讨回工资？,您可以通过劳动争议仲裁程序取回工资，也可以先向当地劳动监察部门投诉、举报该用人单位。无论是以何种方式维权，均需先行确认您与用人单位之间存在劳动关系。因此，仅有电话录音作为证据明显对你方不利。建议您先收集、固定您曾为装修公司工作的相关证据，包括工作服、工作照、特定的结算单、微信聊天记录、证人证言等等，以争取确认您与用人单位之间存在劳动关系。,员工权益
