questions,classes
因个人失误，造成单位损失，单位全部让我承担，我该怎么办呢——本人2016年12月与公司签订合同，2017年9月至2018年1月期间，因项目部只有我一个技术人员，经常早上6点上班，晚上12点下班，于是在工作中犯了一次错误，造成单位经济损失2万元，单位让我全部承担，请问我该怎么办？,未知
"国企劳务派遣连续工作十年解聘——你好,我在国企以劳务派遣形式安排到公司工作期间公司指派两家公司续签合同，在日常工作中无违反公司规章制度，已连续工作超10年现在公司因为业务转型提前一个月电话告知去劳动单位签署解除劳动合同通知（未签字），公司因为中间制定两家劳务派遣公司前一家公司2年4个月认定适度补偿后续签公司补偿按一年一月当年平均工资补偿，单位正式员工同工不统筹2008年进单位公司没有为我缴纳社会保险和住房公积金，公积金正式工指数比例12%补偿我是5%能诉求和本单位正式职工一样系数吗？社保医保是2012年5月31号开始缴纳，我要求补缴在职期间所有社保医保公司回复不予支持，我能要求完全补缴另外能要求一年两个月补偿吗？",辞退解雇
社保——请问，我在一家单位工作5年了，没有签订合同，也没有缴纳社会保险，我该怎么维权？,劳动保险
劳动纠纷——你好，我想请问律师一个问题，我在外卖公司送外卖，最近因为家里娃娃生病请了半个月的请假，后来请假时间到了娃娃还没好，刚好这个时候手机又坏了，我一个人又要照顾娃娃所以没有时间去修理手机，所以没有给公司叙假，后来过了几天我修了手机准备打电话给公司请假，公司说我无故旷工三天给我算自动离职了。可是之前公司让我们签了一个协议，公司冬天为了能留人所以每个月从我们的工资里面扣300块钱，连续扣四个月，明年开年翻倍作为奖励发给我们。（协议是我们做不到明年工资里面扣的钱和奖励一分都没有）现在公司也说扣的这个钱不给我，我想问一下这个钱我有权利要回来吗？谢谢律师帮忙解答一下,辞退解雇
单位拖欠工资员工怎么办？——从2018年4月份后单位一直在拖欠员工的工资，每个月的工资是分两次发放，先由财务打一半的工资到银行卡里，而后老板再以现金的形式把剩下的另一半发到员工手里，现在是由老板以现金发的这个二次工资有3个月啦！都没有发，想问一下我该怎么办？以这个事为由提出解除劳动合同的话能拿到补偿金吗？如果能该找些什么证据。,员工权益
我需要法律援助——2018年4月2日下午，因在中山市工地上打工左眼睛受伤经治疗后鉴定结果为十级伤残，可是鉴定结果上却没有写明手术后眼睛飞蚊症，公司也据不承认，就鉴定结果也不认，还说“你去请律师上法院告我呀！”我的1.以后飞蚊症的药费怎么办？2.眼睛也要终身戴眼镜，以后的费用谁出？3.我需要法律援助。谢谢！,工伤事故
"上班快十年了，没有签合同，没有缴纳保险，现在还要让我辞职——我是一名退伍老兵，9年前当地城管招人，就应聘上岗至今，其间也没有签过任何合同，没缴纳过保险，之前工资都是现金形式发放，从18年是银行卡发放，之前每月就几百块到后来1000,1500，现在又说不让干了，让辞职，我都快到退休年龄了，现在他们这样能能要求什么补偿？可以申请劳动仲裁吗？",辞退解雇
辞职后，公司是否有权扣工资？——我于2018年7月7日入职，2018年12月15申请离职，并告知做到12月17日，老板同意后，现在却告知辞职要扣除1000元工资，并要我12月19号再去上班一天，如果不去按旷工处理，并扣除三倍日工资，我签订过劳动合同，但在职期间公司没有为我缴纳社会保障金，那么公司有权扣我工资吗？我是否可以去劳动局投诉,辞退解雇
"拖欠工资等——咨询的问题比较多，因为这个老板已经坑过很多人了，所以希望看到这份咨询信息的律师先生耐心的看完帮我出出主意我在北京一家公司工作有3年多了，公司一直没签劳务合同，也没交过任何一个保险，一直都是死工资，节假日也没有按照国家规定的2倍3倍工资计算，任何补贴都没有，老板口头承诺过的一些项目奖金基本一次都没发过,工作期间我有参与研发申请过多个发明及设计专利也未给过任何奖励，现在公司状况不好老板拖欠了我2个月工资而且还有几个月的工资没有开全，管老板要每次都说没有以后有了再给，因此信用卡提现维持了一段时间，现在信用卡也还不上了，我打算辞职但是老板还是不清算劳务工资，这种情况我该如何处理，需要哪些材料，我能获得多少补偿？另外我们公司去年的收入和支出数额对不上，怀疑公司大股东也就是我的老板私自挪用工资资金，但是我没有证据，公司的账目也很乱一直都事大股东把控，作为员工我提过让他公开账目，但是他始终未处理，我想问一下我是否能够举报到工商局或者其它司法机关核查是否有私自挪用公司财产的犯罪？而且我们员工的工资和连锁的营收都是个人账户转给我们的，公司有应该也有偷税漏税的行为，我是否能够举报？公司的部分电子设备也有严重的产品缺陷，而且都从厂家生产出来后直接销售给客户，研发和生产过程中未经任何质检和相关工商部门的批准许可，基本属于三无产品，我是否能够举报？",员工权益
从未做好的工装一次未穿离职时扣钱合法吗？——我在2019年9月份入职该公司，入职满一个月后转正给量身定做了一套工作服，但是在我2018年12月份离职的时候（辞职申请是提前20天左右提出的）这套衣服仍未到我手，离职后说工装等做好通知我，但是在12月份发11月份工资的时候已经扣除了我的工装钱，我想咨询一下：虽说公司名义上说量身定做工装，但是在职3个月没有穿过一次，离职扣工装钱可以申请仲裁吗？,辞退解雇
劳动纠纷——63岁老人农村户口，进城务工，单位未给买保险，下班途中车祸死亡怎么申请赔偿？,工伤事故
不发十三薪合理吗？——物业公司本来规定做满一年可以有十三薪，但做了十一个月，换物业，员工可以要求老板发十三薪吗？要找什么部门？求解答，,员工权益
解除员工劳动合同——员工出国，持续旷工超过15个工作日，现需与其解除劳动合同，已将解除劳动合同的通知通过微信及电话告知该员工，还需登报公告吗,辞退解雇
公司拖欠多年社会各项保险和工资，本地政府各部踢皮球——你好，我想替我母亲问个问题，我们找不到办法被逼无奈了，请问有没有懂行的人告诉我们该怎么做我们在山东邹城，公司是搞煤矿相关的，后期效益不好，拖欠工资和保险，我母亲就在2015年11月辞职，她身患乳腺癌，我们家又是平常穷人家，治病急需医疗保险。但是公司拖欠一直说没钱不给我母亲。2016年向本地政府劳动监察大队投诉，至今未果。我母亲不是个例，很多人的工资和社保都被拖欠，我们用自己了解的途径求助投诉，却遭乱踢球，请问我母亲到底怎样做可以要回保险呢？,劳动保险
企业罚款权——公司规章制度里面有罚款条款是否合法？如不合法公司以违反规章制度为由扣罚员工一千多元工资员工可以以公司违反劳动法提出解除劳动合同并要求经济补偿吗？,员工权益
企业以员工违反规章制度扣罚员工工资——我因上班空闲时玩手机被公司以违反规章制度为由记我两个小过（两个小过算一个大过两次大过既开除）并罚扣1079元工资。我向公司提起申诉表示接受记过处分请求退还扣罚的工资，公司仍坚持扣款。我可以以公司违反劳动合同法第三十八条提出解除劳动合同并要求经济补偿吗？,员工权益
上下班打卡记录，能否认定加班，离职时主张加班费，法院是否支——上下班打卡记录，能否认定加班，离职时主张加班费，法院是否支持？1、工作日，我若有上下班打卡记录，但是公司没有内部加班延时审批手续，可否认为是加班？有的时候到晚上11点，12点，1点、2点的。2、若非工作日，我有到公司上下班的打卡记录。离职时若凭打卡记录，上述两种情况，能否申请到加班费？,员工权益
"我的工资可以找谁支付和解除我的劳动关系——尊敬的律师：你好！我是一名江苏省连云港煤炭工业公司的职工，但我的五险一金在连云港市煤炭工业公司下属独资公司白集煤矿机械销售中心交纳，党员关系存在煤炭工业公司。2013年外派贵州连云矿业集团下属单位金沙县连云矿山设备有限公司（洗煤厂）工作。2015年年底贵州连云矿业集团整体歇业，2015年12月定我为留守人员，2016年经沈××审核上账上报在金海投资大院公示欠我薪资119811元，江苏天凯会计事务所审时定为106461元，2016年12月煤炭工业公司下文件减员，2016年留守期间欠我薪资9520元，我于2017年元月交了档案欠当月工资4500元,洗煤厂领导开会定辞退补助我28000元总计148481元.辞退时我要求兑现,沈亚全以各种理由推拖,后来,我三番五次找总公司马总,他总是说帮协调,协调一年多了，也没有兑现。,沈××说不关他的事，并拒绝出据职工解除合同证明。.来回拖到现在，我都找两个年头了，实际情况，辞退职工都是连云港市煤炭工业公司统一调动资金统一解决的，洗煤厂不想付这笔钱，洗煤厂私人合资与我职工的工资有什么关系，到煤炭公司也找不到主要领导，找到市仲裁说不能立案并出据文书，马总是连云港煤炭工业公司，江苏白集煤矿机械销售中心及贵州连云矿业集团三家公司的法人代表。请帮我理一下，我的工资可以找谁支付？我的劳动关系和那家解除？",辞退解雇
企业有没有对员工的罚款权——因上班空闲时玩手机被公司以违反规章制度记两个小过并罚款1079元（十二天基本工资）经与公司协商，公司仍坚持罚款。我可以以公司违反劳动合同法第三十八条（1）未按约定及时支付劳动报酬和公司规章制度损害劳动者权益为由请求解除劳动关系并要求经济补偿吗？,员工权益
劳动仲裁委员会下达的劳动仲裁调解书让法院无法执行——企业非法开除职工，劳动仲裁委员违背事实，和适用法律不当，偏护用工单位，庭审笔录不经当事人签字，调解书中不注明调解结果，调解结果非申请人在仲裁庭上申请事项，企业在仲裁庭和法院执行庭提供证明不一样。不调查取证，下达的调解书无法让被申请人执行，法院无法强制执行，申请人怎么办?电话：18631739157,维权方式
离职赔偿——1、我在本单位已工作4年多（单位在宁波）2、当年作为一个专业人才被高薪请过来3、目前企业相关的人员也带出来了，老板这是觉得我的工资太高了，要对原来的固定工资的其中一部分改为考核工资4、如果这个时候我主动提出离职，我能要求索赔吗？要收集哪些证据？,辞退解雇
老板不发工资反而说我们诈骗该怎么办——本人老爸好几年前去做装修.后来老板跑了最近才找到.现在去要工钱老板说付清了.但是我我们没拿到钱.然后知道了老板开了个店。我老妈去买了他店里东西付了定金签的名字不是本人的名字没。后来那个老板说我们签的名字不对现在告我们诈骗。我要怎么办,未知
公司搬迁，不给说法——公司在搬迁前一天发搬迁通知，新厂区离家有30多公里，第二天我写了不去的说明，希望和公司协商解决。现公司已搬走，我就一直在家等公司通知吗？,员工权益
拒不支付劳动报酬罪，能否刑事自诉？——案由：人力资源和社会保障局向某公司下发了《劳动保障监察限期改正指令书》，责令支付工资，但某A公司仍逾期没有支付，拒不执行指令改正。欠薪期间A公司与另一家B公司存在房屋租凭关系，有固定的租金收入，但A公司的法人代表及实际负责人多次恶意抽调公司租金转移财产，以逃避的方式拒不支付申请人的劳动报酬（2018年8月收取的最后一笔租金没有转移成功，被人民法院强制执行）；公司员工多次联系均联系不上公司负责人。属于主观上拒不支付薪酬，客观上存在有支付能力的情况。依据《中华人民共和国刑法》第二百七十六条之一第一款、《最高人民法院关于审理拒不支付劳动报酬刑事案件适用法律若干问题的解释》第二条第（一）项、第三条第一款第（二）项、第（三）项、第四条的规定，该A公司及法人代表已涉嫌犯拒不支付劳动报酬罪。根据最高人民法院、最高人民检察院、人力资源和社会保障部、公安部《关于加强涉嫌拒不支付劳动报酬犯罪案件查处衔接工作的通知》（人社部发〔2014〕100号），涉嫌犯拒不支付劳动报酬罪的，人力社保局应当及时移送公安机关立案侦查。但人力社保局的答复：A公司及法人并不涉嫌拒不支付劳动报酬罪，一是虽然联系不上本人，但能联系上委托人，委托人应对积极，并不认为A公司法人失联，以及逃逸；二是转移财产的事情，监察大队没有权限调查，故不能将案件按涉嫌犯拒不支付劳动报酬罪移交公案局处理。A公司员工带着材料直接去公安分局报案，公安分局的答复：只受理人力社保局移送的案件，不受理个人报案申请。请问，上述情况公司员工可以去法院申请刑事自诉吗？谢谢！,维权方式
劳动合同由同事代签有效吗，我让他帮我签的，我在上班走不开——1、我口头上让同事帮我签劳动合同，我当时在上班，这个劳动合同有效吗？2、我从银行离职前请了一个月的病假3月29号到4月底，心脏不舒服，头晕，病好之后，我辞职了5月4号，银行把我第一季度的绩效3000多元扣完了，说是工作服费用和请假期间没有工资，合法吗？,劳动合同
公司制度想让我走——我2013年3月份毕业来到公司实习当时入职的时候签了一份合同，当时公司说实习三个月然后转正式员工，因为当时年纪小不太了解劳动法，公司到了转正期间也没有跟我签劳动合同上社保，在当年11月份因为工作改变把我掉去别的岗位，我当时要求公司给我上社保，但是公司不给上，然后到了2018年10月份公司改革，说我不是公司员工想让我自动走但是我有工资打卡记录还有拿现金工资的记录请问律师如果这样公司不给我补偿并且要求我离职怎么算,辞退解雇
公司不购买社保不给合同——公司签订合同不给我们然后不买社保和公积金现金私发工资公司有非法集资的嫌疑,劳动保险
孕期遭辞退——我单位欲辞退我，但我现在要是孕妇，在得知我是孕妇后，又不想辞退我让我自动离职，想求助一下,辞退解雇
我不主动辞职，有赔偿金吗——我在北京一家肯德基工作，2004年11月24日入职，现在是无固定合同，2017年2月9日开始休产假，哺乳假过后因为身体总是有病一直交病假条，每个月交的不一样，每月有交一个星期的，有2个星期的，现在医疗期已过，单位好像要找我谈上班问题，我身体不好，如果我不干了，单位可以给赔偿金吗，谢谢。,辞退解雇
劳动纠纷——律师您好，我单位辞退一名临时工，已付工作9年的补偿，只是当初签了个协议，我认为不公平。请问现在能否撤销或找法院调解？或还可以怎样处理？谢谢,辞退解雇
拖欠工资——2018年3月入职工资每月5000公司押1000实发40002018年7月10申请离职，公司已同意离职，离职日期2018年8月10日，公司2018年7月31日将我在公司除名、停止发工资，2018年8月1日我仍然在工作，2号回公司报道得知已经被公司除名，截止到目前为止公司尚未结清我的工资，入职转正没有签订劳动合同，有效证明文件；工牌，聊天记录，通话录音，照片，工资转账记录,辞退解雇
工钱未结，老板去世——我父亲10年到12年3年给私人沙场老板打工，工钱未结清，老板打了欠条，之后每年都更换欠条，这个老板前两天出意外去世了，我父亲担心钱的问题，那个老板现在的老婆是他二婚找的，房产可能都登记的不是他俩的名字，如果拿着欠条去我们市劳动仲裁有用吗？还是自己找律师直接起诉？起诉的受理流程会不会很慢，因为有其他的债权人已经去他们家闹了，可能会把值钱的东西都抢走,维权方式
请问劳动仲裁对我有多大的帮助——我5月20日面试步行街管理执法协管员跟我说工资1800+公益性岗位津贴工资有2300左右的样子22号上班，到月底开会说试用期3个月1600.试用期过后我见财务还发1600找领导反映领导说要试用期过了要加工资了，然后他们商量后又开会说工资在1900~2000之间，后我发现财务造的1800找领导反映领导说5年后才有2300我就说与面试不符我就辞职，写辞职报告10月1日离职他们28号就让我走了，试用期没有发放工资，到8月20多号才发1450元说是扣了押金2000，还有一个是服装款的百分之30，现在未退换一分，合同是6月1日至12月，请问我有机会拿回我未发的吗,辞退解雇
离职后，原单位不退还我在职期间取得的证书——我离职了，但是原单位不退还我在原单位工作期间取得的职称证，还有一些岗位从业证书，我该怎么办？,辞退解雇
请问“教育培训服务”是否属于消费者权益保护法和产品质量法的保——具体情况是，本人想出国做海乘。通过中介公司和船方的面试后，该劳务派遣单位要组织培训3个月，个人缴纳培训及派遣费用1万余元。然而培训结束后，船方还有一次定岗测试。测试中，面试官各种卡拦，合格率40%导致不能安排工作。为了上船工作前后投入1年时间，数万元前。因此，本人想是否可以以对方“提供的教育培训产品质量问题”、“虚假宣传”唯由提出诉讼，要求20倍赔偿？,未知
"不给我买社保，还在我离职后把我的信息给别的公司去偷税漏税，——你好，我有两个问题想咨询：1.我在上家公司离职以后，上家公司把我的身份证个人信息拿给其他公司去抵税，属于偷税漏税那种，我好怕他们以后还会拿我的个人信息去干违法的事情。2.我在上家公司工作一年，前几天去查了社保，上家单位并未给我购买社保，我现在离开那家公司大半年了，现在问他他说没有我的个人信息买不了，但是，他能把我的身份证个人信息给别人，去偷税漏税，怎么会没有我的信息去买社保，并且我在公司多次跟我的直属领导说要买社保，再说，公司就有义务给员工买社保的，以上两个问题,我要怎么保护我的个人权益，和个人安全呀？",劳动保险
国家节假日放假，公司规定假节日是无薪假，这合法吗？——国家节假日放假，公司规定假节日是无薪假，这合法吗？,员工权益
老板坐牢了，不配合办理三证合一。会计无法在税务所实名制离职——公司老板坐牢了，不配合办理三证合一。我是公司的会计，现在想要办离职，税务局没有三证合一办不了实名制交接，我的离职得不到税务所的认可。,辞退解雇
被单位辞退后一无所有——你好，我以前是医疗全额事业单位的员工，1994年毕业后参加工作，期间停薪留职五年，2014年单位要求我回单位上班，没回，单位就开除我公职！从未给我交过养老保险，请问我能追求经济补偿吗？,辞退解雇
孕妇辞退补偿——我妻子所在公司是一家集团公司，因资金问题，将她所在的子公司卖给了集团另一家公司，现在公司剩下3个孕妇还未处理，且现已经5个月未发工资，只缴了保险。我妻子现在8个月身孕，在公司工作了4年，请问如何索赔？,辞退解雇
索要农民工工资——我在贵州省铜仁市某工地工作，现在工地已经结束了，迟迟要不到工资，希望得到法律援助,员工权益
基层法院不执行，申请复议被驳回，如何救济？——本人申请基层法院当地执行劳动争议仲裁委员会的裁决书，基层法院裁定不予执行；后向中级法院申请复议，又被中级法院驳回。请问，下一步怎么办？可以申请再审、抗诉吗？或者还有设么其他的救济途径呢？谢谢！,维权方式
国外劳动纠纷——我被人叫来印尼工作来时承诺的工资现在变少了，现在工作两个多月想回去才知道老板没有给我们申请工作签还不给护照我们。现在回去不了该怎么办？,员工权益
新公司入职休年假——累计工作两年，刚入职新公司三个月，能申请休年假吗？,员工权益
怎样维护自己合法权益——你好律师，我曾是事业单位下设公司的员工，后来当地成立了国资委，把我们划拨到建投集团里，我们财务一直没有独立的财会，后来集团里面的一个测绘公司托管我们这个公司，期间建投集团董事长变动，又把我们划拨给集团的另一个物业公司来托管，物业公司给我们成立中介公司让我们自己出去揽活，不想全额发工资说我们账面上快没钱了，我们自己由于没有财务不知道我们自己的资产到底有多少，因为我们有固定资产可以出租，还有在其他企业投资的股份都算在内应该够用的，现在我们这部分员工该怎么办呢,未知
私营作坊拖欠工资不给怎么办——你好：请问，我家人在2016年全年在私营作坊打工（农民工），没有签订合同，也没有给打欠条，现在老板拖欠工资不给怎么办，手头有当时工作时发的一个工作服上衣，上衣上印着私营作坊的名字，该私营作坊已经在县工商局注册，2016年上半年的工资给了，下半年的工资一直到现在不给工资，讨要工资老板就先是借口说扣学徒费，后有说抢其客户了，总之就是找各种理由拒绝支付工资，请问应该如何讨要回工资。,员工权益
职工被强制强迫清退——法制工作人您们好！本人原是税务局职工，九三年参加工作，九四年税务内部机构分设按当时省局和省政府共同下发的文件符合被分到县国税局，后县国税让做出不合理的配合后被强制强迫把我们清退！我本人有往纪委和信访微信电子平台反映如实问题，就是问从九三年到二00一年的临时工和天工的为什么摇身一变公务员？我们符合省局和省政府共同下发的文件的人员为什么被清退？就这些我有触犯哪条法律吗？我该怎样才能处理好这件事？怎么样才能得到公道还我公平？盼回,辞退解雇
劳务纠纷——您好，请问走广州市法律援助中心（天河区）关于劳务一般流程纠纷的案件，通常的怎么一般流程是样的？还有官费这些事多少？,维权方式
社会保险缴纳和工资支付问题——你好，我是西安市一家企业的员工。我们公司为我们缴纳五险一金。但我有4个问题需要咨询。一、公司规定：全年事假在5天（含5天）以内时，公司承担社保费用等，超过时公司不再承担社保费用，全部由个人承担，由公司从本人当月工资中代扣代缴。请问是否合理，请给予明确解答。二、公司规定：全年病假在5天（含5天）以内时，公司承担社保费用等，超过时公司不再承担社保费用，全部由个人承担，由公司从本人当月工资中代扣代缴。请问是否合理，请给予明确解答。三、公司考勤制度规定：请事假和病假期间没有基本工资、绩效工资。请问是否合理，请给予明确解答。四、我最近请病假将近1个月，之前请假累计已超过5天，公司现在要求我自己承担7月份请假期间的所有社保费用，也就是说：7月份给我发的只有一天的基本工资（7月份我中途上了1天班），除此之外，我个人需要承担7月的所有请假期间的社保费用，包括公司缴纳的部分，算下来我欠公司两千多元。公司对于我7月份的工资和社保的结算是否合理，请给予明确解答。,劳动保险
工伤申请、鉴定、赔偿——7月2日在佛山工地上支撑模板时踩空坠落受伤，8月1日出院全休3个月。去年在佛山、成都、山东临沂支撑模板，今年在海南和现工地支撑模板。完工后包工头或公司以现金或转入银行卡结清工资，现这工地上借生活费是公司统一打入为员工办理的工行卡，流水显示为工资，公司名称不全，应是挂靠外省的建筑企业。咨询这种情况本人工资如何计算？企业机读信息在佛山行政中心打不出来，在国家企业信息公示平台或天眼查打印出来的可以作为申请工伤的材料吗？现阶段公司或包工头不拿钱去复检和不借生活费怎么办？出院报告是两周复检。谢谢！,工伤事故
我与公司的履行职务官司——我想咨询一下公司与我签订的劳动合同全部在公司里，我是公司的业务人员去年出差公司要求我们业务员开车谈业务效率高还可以多带公司样品给客户看，期间出了车祸把人给撞了。现在公司不承认我是公司员工，也只拿出来2018年的劳动合同而且2017年的不拿出来给法院，现在能证明我是公司员工的同事也不让出庭我要怎么办才可以拿到证据？,未知
"事业单位外聘人员养老保险问题——公益二类事业单位,不给外聘人员上保险,单位人事部门说开不了帐号，所以无法给外聘员工上各项保险。请问如何解决。",劳动保险
关于正常上班后学校要求值班的问题——我是广州一卫生类高职院校的职工，现在我校在近郊的地方新设立了一个校区，因为是初设，所以只安排了一个专业2个年级共2个班的学生进入学习。在该校区各部门都基本上派驻了一个人作为常驻人员进行日常教学活动保障。现在学校要求每个部门在该校区常驻的员工都要在下班在该校区进行每周一晚的总值班任务，请问个人能否拒绝这样的值班安排，如果学校根据所谓的学校管理制度对员工进行行政处罚，能否申请仲裁。,员工权益
上班处分纠纷——律师你好，我在国企上班，因为我在项目办公室被通知下班回宾馆，同事田便带车钥匙与所有人一同去开车，所有人在车上等了10多分钟后仍未出发，此时田接到项目经理电话得知合肥来的一行人马上到汽车站，项目经理要赶回项目处理事情，项目地理位置较偏，晚上不容易打到去项目的出租车，所以想让同事田接一下，田接电话后上楼告诉集团公司经营经理合肥的人已经到了，希望能现在出发去接人。田上楼的同时，我也接到项目经理电话得知他们马上要到站了。田下来后又等了大约10多分钟，经营经理仍未有出发的意思，我与田便商量由我先去接姬相伟，并将之前开好房间的房卡给其他刚到的人，回来后再将经营经理送回宾馆，如果工作结束的早由田开其他人的车送回宾馆。现因经营经理告状我们未与其一同回宾馆，说我们将她置之不理，集团要给我处分，会对工资及年终奖产生影响，请问律师这样合理吗？我该怎么办？,员工权益
法律援助——我是一级残疾人我老公受到不法侵犯我可以申请法律援助帮我老公打官司吗？,未知
房屋装修我没回家验收家父就把工钱结了，现发现问题，做工方不认——老师，您好。家里最近装修房子，没等我们回去检查，家父为人老实，不多言不多语，只是没看在哪里守着工人做，完工当天未通知我就先把工钱付了，后在8月28日晚上去检查厕所便池蹲位未做好、灶台世歪斜的、墙砖缝隙过大，水电工也没有做好，于是在8月29日中午家母打电话给泥工让他来家里看一下协商解决，他直接说钱都结了，不知道就挂了电话，晚上我又打电话过去说让他上来看看，该得怎么处理的就怎么处理，他就说道：”家父在哪儿守着做没说过一句话，现在工钱结了，不知道，还提到在我家做几天工他心情不好不高兴，没等我说完话就挂了电话。“工人是朋友的亲戚，想咨询一下老师怎样维权,未知
拖欠工资，偷税漏税的奸商。——工资不给，要钱时候找诸多借口，两个月没发工资了，一要钱就耍臭无赖，还恐吓我们。怎么办？,员工权益
"""法律问题——请问:""""试用期不合格""""这句话，适用于《劳动合同法》第三十九条第几项法律规定？""",辞退解雇
我爱人撕了申请书又粘好，单位开除我，合理吗？——律师您好！我是残疾职工，2006年单位改制，由于当时网络不发达，我不知道有【吉林省实施《中华人民共和国残疾人保障法》办法】这个文件，被单位领导用欺诈诱骗的手段，致使我下岗。06年单位搞全员买断，全体员工都写买断工龄申请书和解除劳动关系申请书，领补偿金，在竞争上岗，我不同意，毕竟不如健全人有优势，又不了解当前的政策是对残疾人有利，在不知情的情况下，也和其他员工一样，写了申请书，领了补偿金，由于不同意下岗，所以，在报请劳动局的解除劳动关系的本人签字处，我不签字，是别人签的我名字。后来我看其他员工上班，我去找，要求上班，可是就不让我上班。为什么其他人能上班？为此事我不计其数的找单位领导要去上班，好话说了不知多少，就是不让，也不跟你讲理，找次数多了，他烦了，有一次险些被打，骂我“滚出去”，过一段时间后，我还去找，我多了个心眼，备了个学生学英语的录音机，录下来他说的“饿死活该，别说饿死你一个，饿死100个谁管你，还你他妈饿死，对你这样人没有不对”，好多难听的话。这期间我去了劳动仲裁，他们说你是自愿的，你回去和领导商量上班。去了残联，残联给我们领导打电话，领导态度坚决不行，残联说，我们也没招，我们没有执法权。找了两年不行，就去省找，省里告知交回补偿金可以上班，我们单位领导很不情愿，问：你在哪个科室上班？都没有空位置，我又联系省里，省电话告诉我单位领导，让交补偿金回去上班。交补偿金是我和我的爱人去的，会计从办公桌里拿出我写的申请书说：按理说写了申请书就不能上班，我说；其他人也都写了，不都上班了吗？我爱人接过申请书说；交钱就没用了吧？，就撕了，这一下，会计急了，说你撕了传票，我不收你补偿金，你把它粘好给我，我爱人给粘好了，给了他，他却不收我的补偿金，领导跑到省书店，诬陷我们说我爱人态度恶劣、撕毁传票，经过与省书店研究，决定我不能上班。我们这个领导终于如愿以偿的剥夺了一个残疾职工的劳动权利，损害了残疾人的合法权益，使我这个残疾人雪上加霜。吉林省实施《中华人民共和国残疾人保障法》办法的第四章第36条：任何单位不得非法开除、辞退残疾职工或者解除与残疾职工签订的劳动合同。被开除后，这些年来，我年年找这事，都没有结果，又因残疾，生活艰难，没有起诉。请问律师，我爱人不懂财会规章，撕了申请书后，又粘上，单位开除我，合理吗？,辞退解雇
