questions,answers,classes
工资纠纷——我的一个亲戚是山东泰安市一名环卫工人，今天发现她的工资居然是每月800元，而该当地的最低工资标准是1450元。我有两个问题：一该用人单位从法律上讲，是不是已经构成违法？二，若是违法，我该选择何种方式来维权？,您好，法律服务组7为您解答。首先，根据我国法律的规定，劳动者患病或者负伤，在规定的医疗期内，用人单位不得解除劳动合同。因此，按照您的描述，在工伤期间单位要求您辞职的做法是不符合规定的。其次，按照您的描述，您是在上班期间被车撞伤的，根据我国工伤保险条例的规定，在上下班途中，受到非本人主要责任的交通事故或者城市轨道交通、客运轮渡、火车事故伤害的，应当认定为工伤。所以，建议您先根据交通事故责任认定书的责任划分来判断该交通事故是否非您的主要责任，如果是，则您可以申请工伤认定，要求单位对您进行赔偿。如果不是，则单位也不能在您的医疗期内将您辞退。建议您与单位进行协商解决，如果协商未能解决，则您可以提起劳动仲裁，对仲裁结果不满意的则可以进行诉讼维权。相关法条：《中华人民共和国劳动法》第二十九条劳动者有下列情形之一的，用人单位不得依据本法第二十六条、第二十七条的规定解除劳动合同：(一)患职业病或者因工负伤并被确认丧失或者部分丧失劳动能力的;(二)患病或者负伤，在规定的医疗期内的;(三)女职工在孕期、产期、哺乳期的;(四)法律、行政法规规定的其他情形。《工伤保险条例》第十四条职工有下列情形之一的，应当认定为工伤：（一）在工作时间和工作场所内，因工作原因受到事故伤害的；（二）工作时间前后在工作场所内，从事与工作有关的预备性或者收尾性工作受到事故伤害的；（三）在工作时间和工作场所内，因履行工作职责受到暴力等意外伤害的；（四）患职业病的；（五）因工外出期间，由于工作原因受到伤害或者发生事故下落不明的；（六）在上下班途中，受到非本人主要责任的交通事故或者城市轨道交通、客运轮渡、火车事故伤害的；（七）法律、行政法规规定应当认定为工伤的其他情形。,劳动保险
劳动合同到期公司未续签。——本人劳动合同到今年2月13日到期，现还在该公司上班，期间找部门文员，文员说让我等人事通知，等了几个月依然没有通知签合同。然后找部门主管，主管给人事打了电话，至今还没有通知，请问公司违反劳动法了没有？,您好，法律服务组7为您解答。根据您的描述，您的问题属于包工头欠钱不还的法律问题。首先，您应当明确您的问题是劳动法问题还是债权债务关系问题。如果包工头与您有劳动雇佣合同，欠工资后并没有给您欠条。这种情况下建议您找当地的劳动监察部门进行投诉或者进行劳动仲裁。如果包工头在拖欠工资后给您写有欠条，这种情况属于债务纠纷问题，建议您可以起诉解决。相关法条：《中华人民共和国劳动法》第五十条工资应当以货币形式按月支付给劳动者本人。不得克扣或者无故拖欠劳动者的工资。,劳动保险
加班可以不负担工资吗——单位加班可以不服给我工资吗，上了好几周了，说是有奖金，现在也没有,您好，法律服务组7为您解答。根据我国法律的规定，用人单位的工作人员因执行工作任务造成他人损害的，由用人单位承担侵权责任。劳务派遣期间，被派遣的工作人员因执行工作任务造成他人损害的，由接受劳务派遣的用工单位承担侵权责任；劳务派遣单位有过错的，承担相应的补充责任。按照您的描述，您虽然未与老板签订合同，但已经与老板建立雇佣劳务关系，则老板应当对您的损害承担侵权责任。相关法条：《中华人民共和国侵权责任法》第三十四条用人单位的工作人员因执行工作任务造成他人损害的，由用人单位承担侵权责任。劳务派遣期间，被派遣的工作人员因执行工作任务造成他人损害的，由接受劳务派遣的用工单位承担侵权责任；劳务派遣单位有过错的，承担相应的补充责任。第三十五条个人之间形成劳务关系，提供劳务一方因劳务造成他人损害的，由接受劳务一方承担侵权责任。提供劳务一方因劳务自己受到损害的，根据双方各自的过错承担相应的责任。《最高人民法院关于审理人身损害赔偿案件适用法律若干问题的解释》第十一条雇员在从事雇佣活动中遭受人身损害，雇主应当承担赔偿责任。雇佣关系以外的第三人造成雇员人身损害的，赔偿权利人可以请求第三人承担赔偿责任，也可以请求雇主承担赔偿责任。雇主承担赔偿责任后，可以向第三人追偿。雇员在从事雇佣活动中因安全生产事故遭受人身损害，发包人、分包人知道或者应当知道接受发包或者分包业务的雇主没有相应资质或者安全生产条件的，应当与雇主承担连带赔偿责任。属于《工伤保险条例》调整的劳动关系和工伤保险范围的，不适用本条规定。,劳动保险
强制压我劳工合同一个月——在职期间受到其上司威胁，强制加班，请假不批，最后给我旷工处理，还强制压我劳工合同一个月,您好，法律服务组7为您解答。根据我国法律的规定，到达法定退休年龄并办理了退休手续的人，同聘用单位没有劳动关系，不适用与劳动法和劳动合同法，所以，被辞退后不能按照劳动合同法的规定获得补偿。如果退休人员返聘，与用工单位是劳务关系，只能签订劳务协议（合同），被辞退后，只能按照劳务协议的约定处理。当然，也可以同单位协商处理。此外，如果聘用单位与被聘用退休人员双方签订了聘用合同，聘用合同中约定了解除时应当支付经济补偿金的情形，且用人单位辞退被聘用的退休人员时符合该支付情形，应按照聘用合同的约定予以支付。相关法条：《关于实行劳动合同制度若干问题的通知》13.已享受养老保险待遇的离退休人员被再次聘用时，用人单位应与其签订书面协议，明确聘用期内的工作内容、报酬、医疗、劳保待遇等权利和义务。《关于实行劳动合同制度若干问题的请示》二、关于离退休人员的再次聘用问题。各地应采取适当的调控措施，优先解决适龄劳动者的就业和再就业问题。对被再次聘用的已享受养老保险待遇的离退休人员，根据劳动部《关于实行劳动合同制度若干问题的通知》（劳部发[1996]354号）第13条的规定，其聘用协议可以明确工作内容、报酬、医疗、劳动保护待遇等权利、义务。离退休人员与用人单位应当按照聘用协议的约定履行义务，聘用协议约定提前解除书面协议的，应当按照双方约定办理，未约定的，应当协商解决。离退休人员聘用协议的解除不能依据《劳动法》第二十八条执行。离退休人员与用人单位发生争议，如果属于劳动争议仲裁委员会受案范围的，劳动争议仲裁委员会应予受理。,劳动保险
劳务派遣辞退——我是属于劳动派遣员工。昨天还在上班，今天早上劳务公司就把我辞退了，我该怎么办,你好，你父亲可以去找老板，要求老板出具一份关于工程款的结算单，以确认你父亲承包的工程总工程款为18万元，现尚欠工程款10万元左右。拿到结算单后，你父亲可以要求老板立即支付工程款，如老板拒绝支付，你父亲有权向老板住所地的人民法院提起诉讼，要求老板立即支付拖欠的工程款。,劳动保险
咨询——我父亲的问题1、个人简历：父亲高敏（民）生于1929年11月15日，系沈阳电缆厂离休干部，现住兴城二四六医院。1947年元月参加中国人民解放军，在十三兵团政治部任警卫工作，参加解放战争（之三大战役）辽沈、平津，南下打到海南岛，1950年参加抗美援朝，在中国人民解放军总司令部任警卫排长，1952年2月在战场上受伤回国，曾为中国人民的解放事业做出了不可磨灭的贡献。在部队立功3次并受到嘉奖（有相关的证据及档案证明）2、父亲的遭遇：回国后在陆军总医院治疗3年，伤口不愈合，腰椎结核，第五腰椎栓，做固定手术后，坐卧立行动不便，后因战伤未愈，又去普兰店荣校学习，于1956年分配到沈阳电缆厂人事处做干部管理工作，多年来由于战伤复发，伤情加重，导致多种疾病后遗症，现在仍然住院治疗。现在他老人家已经86岁高龄了，仍然每天生活在痛苦之中，腰椎压迫神经，伤口疼痛难忍，彻夜不眠疼痛不能入睡，整夜呻吟到天明。1、2012年6月15日到单位诉求个人待遇问题，犯病后6小时才到沈阳市第8人民医院抢救，由于没有得到及时的救治，造成房颤，心衰（有医院凭证）安起搏器花医疗费5.2万元，单位却只报销百分之七十，扣除一万五千余元不予报销。1伤残军人的护理费每月15元却是按照6元补助的，其它的费用都没有，工资待遇没有按国家规定的政策兑现。3没有住房，在2013年8月动迁时，当时按建筑面积30平米房一次性给10.3万元，因住院治疗已花光，现在连一间房屋都没有，常年以医院为家，每当春节时合家欢乐时，这个为中国人民的解放事业做出贡献的父亲却老泪纵横、从来都没有领导慰问关心过他！我父亲已走进90岁高龄之人，由于病魔缠身使他在精神肉体上非常痛苦。3、父亲的诉求：请中央纪委领导对此案依法进行核查，对涉案人员依法进行责任追究，对受害人依《中华人民共和国中央军事委员会令》第413号第3章第24条、第29条、第30条、第4章32条、33条、38条、第5章44条、45条、46条、51条之相关的规定，给予合理的国家赔偿，维护国家法律的尊严与公正，谢谢各位领导了！《本人可随时提供所有的档案及证据》，同时也请新闻媒体给予关注！4、联系电话：15566135378、131098539935、联系人：女儿高砚竹,你好！法律服务组4来为你解答。你好，可以与厂方协商解决，不能协商解决的，可以向当地劳动行政部门投诉，由劳动行政部门责令厂方及时足额给你发放工资；你也可以申请仲裁、提起诉讼。相关法条：《中华人民共和国劳动法》第七十七条用人单位与劳动者发生劳动争议，当事人可以依法申请调解、仲裁、提起诉讼，也可以协商解决。,劳动保险
用人档案不放档案，已经离职三年——我老公之前在外地教书，一群私立公助学校里，签了聘用合同三年。期满后回家乡教书，可是学校卡住档案不放，至今已经三年了。最近因为工作调动急需档案，去外地找了学校董事长，董事长依旧态度强硬不见人。董事长是水利开发商在当地有权有势那种。基本上打电话沟通，上门求见，软磨硬泡好话说尽了还是拒绝接见，不放档案。请问现在该如何以法律手段处理啊？(档案在教育局，但是学校不签署迁出意见，教育局调不走档案)helpme.,"从你提供的情况下,你父亲的情形不属于工伤.单位没有责任,但是,依法要承担医疗期间的待遇.医药费,应该在医疗保险内解决.",劳动保险
企业擅自转移员工资格应当怎样维权？——您好，我是国有农场种植企业职工，现年53岁，在现在的岗位上已经连续工作了34年，本企业为了上市，2011年开始公司制改造。轻装上市，已经决定今年上半年正式上市。企业现在告诉我，由于我在2012年没有和本企业签订《农田承包协议》，因此，我不在上市企业员工之列。与本公司脱钩，身份档案留在存续农场。我虽然在2012年不同意当年的土地承包协议内容，但是我事实上一直履行承包协议的义务，到目前我还在履行中、工作中，企业至今也没有解除劳动合同。九十年代企业与我签订过无固定期限劳动合同，在我2012年不同意承包协议时，在2013年与我签订过为期一年的劳动合同，该合同非法规定，企业只承担我的工伤保险、失业保险，不承担基本养老保险、医疗保险、住房公积金。直到现在，企业才告诉我，我的五险一金在2012年我的帐户就转移到存续农场帐户，早在2012年就与本企业脱钩。所谓的存续农场是指，本企业的母公司属下的子企业。企业这种未经我本人知悉，擅自转移员工劳动关系，取消本企业员工资格，合理吗？我应当怎样维权？和我一样情况的还有多位员工，我们都不希望怎样被转移掉，与本企业脱钩，我们希望要么正式办理解雇手续，要么继续留在本企业。我们该怎么处理这件事？【重要说明：这可能与我长期以来一直以农场职工身份长期承包土地有关，我一直以职工身份承包国有农场100多亩农田，企业改造上市，职工土地要参股入股，2012年土地承包协议有土地要实行集体种植一项，，我才不同意，现在我的承包地已经被企业强行上报为集体种植形式，而非职工个人承包形式，并且强迫我承认这一形式的改变，我也仍然被动地被执行这种承包形式。事实上与其他职工无二。】,你好！法律服务组4来为你解答。你好，户主应当按照约定及时将装修款支付给你们，否则，其行为应当是构成了违约，你们可以向人民法院提起诉讼，要求户主承担违约责任，将装修款及时支付给你们，并赔偿由此给你们造成的损失。相关法条：《中华人民共和国合同法》第一百零七条当事人一方不履行合同义务或者履行合同义务不符合约定的，应当承担继续履行、采取补救措施或者赔偿损失等违约责任。,劳动保险
公司处罚职工的标准有没有规定——我在公司开车，因超速行驶违反公司的ＧＰＳ管理规定，公司现在要罚我2000元，请问国家有没有规定公司处罚职工有个标准,你好！法律服务组4来为你解答。你好，老板拖欠你们工资的，你们可以向当地劳动行政部门投诉，由劳动行政部门责令你们老板及时足额给你们发放工资；你们也可以申请劳动仲裁，对仲裁裁决不服的，可以向人民法院提起诉讼。相关法条：《中华人民共和国劳动法》第七十七条用人单位与劳动者发生劳动争议，当事人可以依法申请调解、仲裁、提起诉讼，也可以协商解决。,劳动保险
工伤赔偿问题——我老公在上班的时候脚的大趾头被模具压碎了一节，在医院做手术去掉了一节，请问如果去做伤残鉴定大概能评几级伤残，这种情况老板要赔偿的吗？大概要赔偿多少？还有就是误工费是多少一天,你好！法律服务组4来为你解答。你好，《最高人民法院关于审理劳动争议案件适用法律若干问题的解释(四)》第十一条说的是，劳动合同变更未采用书面形式，但实际上履行的是变更后的劳动合同且超过一个月的，认定变更后的劳动合同有效。用人单位克扣劳动者工资超达一个月，单凭这一点，无法判断你们是否有变更劳动合同的情形，希望你能将问题阐述得清楚、具体些。用人单位克扣劳动者工资的，可以通过协商、仲裁、诉讼等方式解决。相关法条：《最高人民法院关于审理劳动争议案件适用法律若干问题的解释(四)》第十一条变更劳动合同未采用书面形式，但已经实际履行了口头变更的劳动合同超过一个月，且变更后的劳动合同内容不违反法律、行政法规、国家政策以及公序良俗，当事人以未采用书面形式为由主张劳动合同变更无效的，人民法院不予支持。,劳动保险
加班回家途中，骑电动车摔骨折，单位不管。——请问律师，由于加班晚，路上有不可见的雾冰，导致我骑车摔骨折，单位不给认定工伤，还在我养伤期间停发了工资。我该怎么办？而且单位并没有给我签劳动合同。,你好！法律服务组4来为你解答。你好，根据我国相关法律的规定，职工因确认劳动关系而申请仲裁、提起民事诉讼所花费的时间，不计算在申请工伤认定的一年期限内，所以，从事故发生至今，如果除去仲裁和诉讼的时间，剩下的时间若没有超过一年的，职工家属或工会组织仍然可以向社会保险行政部门申请工伤认定，社会保险行政部门以超过一年的申请期限为由不予认定的，职工家属可以向人民法院提起诉讼。相关法条：《最高人民法院关于审理工伤保险行政案件若干问题的规定》第七条由于不属于职工或者其近亲属自身原因超过工伤认定申请期限的，被耽误的时间不计算在工伤认定申请期限内。有下列情形之一耽误申请时间的，应当认定为不属于职工或者其近亲属自身原因：（五）当事人对是否存在劳动关系申请仲裁、提起民事诉讼。《工伤保险条例》第五十五条有下列情形之一的，有关单位或者个人可以依法申请行政复议，也可以依法向人民法院提起行政诉讼：（一）申请工伤认定的职工或者其近亲属、该职工所在单位对工伤认定申请不予受理的决定不服的；（二）申请工伤认定的职工或者其近亲属、该职工所在单位对工伤认定结论不服的；（三）用人单位对经办机构确定的单位缴费费率不服的；（四）签订服务协议的医疗机构、辅助器具配置机构认为经办机构未履行有关协议或者规定的；（五）工伤职工或者其近亲属对经办机构核定的工伤保险待遇有异议的。,劳动保险
我该不该退钱——校园联通找我（学生）推销网卡，当时网卡合约是上网三个月，只用了一个月就不能上了（学校把宽带端口关了，学校规定不让大一上网），由于学校的压力联通店只有退钱给办了卡的学生。现在校园联通店打电话给我，要我退办卡提成给联通店里，这个合理吗？邮箱292425087@qq.com,没有合同，形成事实上的劳动关系或者劳务关系，也可以依法主张赔偿。把能找到的相关证据都找到，老板有营业执照就打劳动争议仲裁，没有营业执照纯给个人干，就直接上法官起诉。,劳动保险
公司扣压个人证件怎么办——本人于2011年9月与现在的公司签订了一份1年期限的劳动合同，2012年续签一年，现在合同到期过了一个月了公司因为其他原因未跟我续签合同也未通知我不续签口头通知我让我等等。现在我想离职有两个问题：1、我能要求公司赔偿我吗？怎么个赔偿法？2、2012年5月我与公司签订了一份2年期限的建造师挂证的合同，2014年5月合同到期，现在我离职能否把我的建造师证拿回来，因为我离职了我的证书和印章都失效了。另外我在公司期间还考了一些其他的证件都被公司扣压着我能否一起要回？建造师有下列情形之一的，其注册证书和执业印章失效：（一）建造师聘用单位破产的；（二）建造师聘用单位被吊销营业执照的；（三）建造师聘用单位被吊销或者撤回资质证书的；（四）建造师已与聘用单位解除聘用合同关系的；（五）建造师注册有效期满且未延续注册的；（六）建造师年龄超过65周岁的；（七）建造师死亡或不具有完全民事行为能力的；（八）建造师其他导致注册失效的情形。我该通过哪些法律途径维护我的自身利益呢？,你可以向法院提起诉讼，要求公司支付你的工资欠款即可。,劳动保险
别我欠我的钱如何要回来——别人给我打了张欠条是一万块钱，写好还款时间，可现在过了还款时间9个月了，还没见他还钱，打电话也不接，我有他的身份证号，但他住的地方有好几处找不到人,您好，法律服务组7为您解答。按照您的描述，单位没有替您缴纳保险的做法是不符合法律规定的，根据我国法律的规定，用人单位逾期仍未缴纳或者补足社会保险费的，社会保险费征收机构可以向银行和其他金融机构查询其存款账户；并可以申请县级以上有关行政部门作出划拨社会保险费的决定，书面通知其开户银行或者其他金融机构划拨社会保险费。用人单位账户余额少于应当缴纳的社会保险费的，社会保险费征收机构可以要求该用人单位提供担保，签订延期缴费协议。相关法条：《中华人民共和国社会保险法》第六十三条用人单位未按时足额缴纳社会保险费的，由社会保险费征收机构责令其限期缴纳或者补足。用人单位逾期仍未缴纳或者补足社会保险费的，社会保险费征收机构可以向银行和其他金融机构查询其存款账户；并可以申请县级以上有关行政部门作出划拨社会保险费的决定，书面通知其开户银行或者其他金融机构划拨社会保险费。用人单位账户余额少于应当缴纳的社会保险费的，社会保险费征收机构可以要求该用人单位提供担保，签订延期缴费协议。用人单位未足额缴纳社会保险费且未提供担保的，社会保险费征收机构可以申请人民法院扣押、查封、拍卖其价值相当于应当缴纳社会保险费的财产，以拍卖所得抵缴社会保险费。第八十四条用人单位不办理社会保险登记的，由社会保险行政部门责令限期改正；逾期不改正的，对用人单位处应缴社会保险费数额一倍以上三倍以下的罚款，对其直接负责的主管人员和其他直接责任人员处五百元以上三千元以下的罚款。,劳动保险
腾讯微博-老板拖欠工资如何维权——你好.个体老板拖欠工资不给.耍赖.就是没钱.因为是小店没有工资卡也没有合同.但是我有电话录音证据..和他交谈几次都是对我恐吓.就是没钱.我该如何维权...,你好！你们可以启用农民工工资保证金来支付。有下列四种情形之一时，经劳动保障部门查证属实后可以支取保证金：建设企业未依法及时结算农民工工资，拖欠农民工工资的;建设单位或建设企业非法转包、分包建设工程，导致用工主体不具有法人资格而发生拖欠农民工工资行为的;建设单位或建设企业法人代表或工程负责人隐匿逃跑或死亡，造成拖欠农民工工资的;其他被认为拖欠农民工工资的。,劳动保险
学生周末兼职——我和同学是在网校做兼职话务员，签了三个月合同。合同上说每月工作8—10天，现在我们都做了十天以上了，他却说我们工作不足一个月应该按40元一天发，考虑到我们是学生给我们750就算了。可是当时合同上写的是750打底加满勤加奖金，现在还据发我们奖金，说那是按年算的，满一年以上才给发。而且说当时签的不是合同，而是工作要求不能算的，还说这个是不能给我们一份的。现在我们也不能证明我们在那里工作过，劳动仲裁说我们是学生兼职他们不管的，现在该怎么办，希望好心律师帮忙解答一下！,你按照法律规定的程序提出辞职，用人单位不依法为你办理档案转移、工资支付等的，你可以向当地的劳动监察大队举报。也可以通过劳动仲裁解决。,劳动保险
违约金——公司让我签一份合同，也没给我看，还不给我，我那份合同，然后我提出辞职，他却让我陪5000元违约金，我该怎么办？,上述事故应该认定为工伤，法律途径是受害人先申请工伤认定，再根据工商登记索赔,劳动保险
报工伤问题——在工伤定点医院，能否直接报工伤,单位不承认是工伤，你朋友自己可以向劳动部门申请工伤认定。,劳动保险
关于劳动补偿——我单位属于分公司在8月份跟我解除劳动合同但是没有给我任何补偿11月份解体后来我们仲裁书节束后给我们包赔了经济补偿金，但是现在单位已经不存在了我们单位是属于全国联锁的在别的地方现在还有分公司，我们现在应该怎么办啊？,您好，根据我国《社会保险法》《劳动合同法》的规定，用人单位应该为劳动者缴纳社会保险。同时，除非公司提供相关证据，否则无权扣除员工工资。,劳动保险
